ID,Position,State,City,Date,Rating,Title,Review,Pros,Cons
1073139520,Driver (Former Employee) –  ,NA,Norcross,2018-10-25,4,Not enough money,"It was not a bad place to work I was going to Al four days that I enjoyed that when they got that, most all the people I work with was easy to get along with that makes it better when everybody can get along",NA,NA
1076095522,Hiker/Driver (Current Employee) –  , TX 79936,El Paso,2019-04-06,4,Run for Improvement,"As a hiker/driver, the job is fairly simple but interesting, hours are flexible and the workplace culture is easy going. What I learned working at Penske is that communication is very important to do the job correctly and efficiently.",Flexible hours,NO raises
1075316104,Driver (Former Employee) –  , CA,Ontario,2019-02-21,3,3pl,"Middle of the pack for 3pl. Demanding overnight work. Pay ok, but could be better. Bennies bottom rung. Job satisfaction very much depends on location, client and coworkers. Their YouTube channel allows no comments - that's a tell.",Brand-name employer. New and well maintained equipment.,"Average pay. Meager Bennies (401k, vacation)."
1075160912,Hiker/Driver (Former Employee) –  , AL,Montgomery,2019-02-11,4,Good place to work for newly trained drivers,"Although the work load can sometimes be challenging, there are never times when you may feel like you are over whelmed by the task at hand. This job offers a lot of freedom with minimal supervision, it still very important and requires attention to detail. I think that it would be the perfect job for new driver and students. simply because of the fact that demand to get from place to place is important but not critical on a day to day basis. It ahs been a decent place to work, but I do feel that pay could and should better than what it is.",Not alot of pressure to get the task done.,"Time consuming at certian pints in the day, may run out of time for completing task."
1074293501,Driver (Former Employee) –  , IN,Indianapolis,2018-12-22,3,It was OK,"Title says it all, was temp so not really much to say but it was ok. Was hired for an account that had left and since I was only temp I left with it, but my time there was ok.",NA,NA
1073776808,Driver (Former Employee) –  , OH,Obetz,2018-11-19,1,Bait and switch,"If your ok working for ten dollars a hr this is the job for you , getting in your truck in  Obetz Ohio drive to Fort Wayne Indiana to get your load daily 5-6 hrs on duty before you do one stop. You will work every single weekend and every single holiday 12 to 16 hr days everyday.Dont believe the ads they got me indeed is great company they should curb penske for the lies.",Nice trucks,Everything eles
1073666682,Hiker/Driver (Former Employee) –  , NY,Henrietta,2018-11-12,5,Delivered rental vehicles to vendors as well as other Penske lots.,Work day began at 3:00PM and went to 11:00PM.  Planned the work process to enable all rental vehicles to be delivered on time.  DOT inspection and complete fueling completed on each vehicle delivered.  Management left the building at 5:00PM so drivers were on their own to complete the list of vehicles to be delivered.,NA,NA
1073257039,Driver (Current Employee) –  ,NA,Georgia,2018-11-01,3,Good company,"Pretty good company to work for the managers I'll have to say respectful torwards drivers only think I don't like is they offer sign on bonus but it's like if you don't stay on them they don't want to pay it to you as agreed when you signed to work for them,  the pay good pretty easy work can be alot of lifting and also if you have other priorities going on outside work it's like depends what it is they will make arrangements for you outside that it's like they'll try",Pay,Few
1072769780,Driver (Current Employee) –  ,NA,Florida,2018-10-05,1,"Long hours, extreme safety policies, poor management, no room for advancement.","Penske's safety policies are set up to make a good driver look bad! Every scratch and dent is counted as an accident and held against you for 36 months! I have never had a major accident with Penske nor any other company I have worked for yet I have served a 4 day suspension while my operations manager conducted an investigation, and am now serving a suspension over another investigation! They score you on the number of hard breaks you have, for letting your truck idle too long, and count it against you for going .1 miles per hour over the speed limit!If one driver has an accident, everyone loses part of their safety bonus! They tell you to go through the chain of command if there is any issues, but yet you can't seem to get past the operations manager, even if your issue is with the operations manager. Asked HR to investigate my new operations manager because of the disrespect and harassment she showed me and other drivers, and it didn't even last a week! If you don't have a degree you are very disposable! Worst place I have worked at! Can't get out quick enough!",Haven't found any.,No cons
1072597608,Driver (Former Employee) –  , TN,Memphis,2018-09-26,4,Its ok,Ok I needed to make more.  Plus it was night driving.  Management was good. It pays about 35 thousand a year. I was looking for more than that.  Trucks is in very good condition.,Great management,Night driving
1072582137,Driver (Former Employee) –  , OH,Obetz,2018-09-26,1,"living in a day cab , not what the ad claims","13-14-15-16 hr days was told it would be 10hr days shuttles was to bring loads to us in a week it's been 5 weeks no shuttle and still working 12-16 hr days for 230 dollars a day that's 14.50 15.00 dollars a hr if you ad in overtime.Bring it up to your boss basically told it is what it is work every weekend  was told I would receive 75 extra a week to work weekends when I asked were the extra 75 for working weekends are they said that's for people on other accounts even though it was told to me and others on a conference call for this account.Sign on bonus was to be paid out week one , 5 weeks in after complaining I received the  bonus.Run out of hrs you must get a hotel and pay for it out of pocket 4 weeks later I still have not received my money back.I came in thinking this would be a great job now I'm looking for a new job.Family insurance 560 a month do t believe the ad or you will find out the hard way it was all lies",New trucks,Everything
1072520478,Driver (Former Employee) –  , OH,Obetz,2018-09-23,1,If living in a day not what the ad claims,"13-14-15-16 hr days was told it would be 10hr days shuttles was to bring loads to us in a week it's been 5 weeks no shuttle and still working 12-16 hr days for 230 dollars a day that's 14.50 15.00 dollars a hr if you ad in overtime.Bring it up to your boss basically told it is what it is work every weekend  was told I would receive 75 extra a week to work weekends when I asked were the extra 75 for working weekends are they said that's for people on other accounts even though it was told to me and others on a conference call for this account.Sign on bonus was to be paid out week one , 5 weeks in after complaining I received the  bonus.Run out of hrs you must get a hotel and pay for it out of pocket 4 weeks later I still have not received my money back.I came in thinking this would be a great job now I'm looking for a new job.Family insurance 560 a month do t believe the ad or you will find out the hard way it was all lies",New trucks,Everything
1072519445,Frac Sand Driver (Former Employee) –  , TX,Odessa,2018-09-23,1,Penske Logistics doesn't belong in the oilfield!,I hauled frac sand for their Hicrush account in Midland Odessa area and the ops manager had no oilfield or truck driving experience whatsoever and did not want to learn except the hard way. The shift supervisors treated their drivers like children and didn't realize that if it weren't for their drivers THEY WOULD NOT HAVE THEIR JOB! they knew nothing about frac sand much less how to order it. If this company would just hire managers with real time oilfield driving experience they would fair alot better. The pay is not as good as they THINK it is because their competitors are offering alot better pay and incentives than these folks. I would highly suggest that you not work for them there are far better frac sand outfits to work for in West Texas. This company is NOT DRIVER FRIENDLY and their equipment sucks.,None,"Poor Managers, Hours cut, poor benefits"
1070703987,Driver (Former Employee) –  , GA,Lithia Springs,2018-06-24,2,Part time benefits but full time hours,"I was hired on as a part time driver to move various wrecked or repaired trucks from customers terminals or other Penske locations. This job would be decent if the managenment would leave you alone and let you do your job. They insisted on micro managing your every move. They never understood issues that would arise on the road. You could make a round trip in half of the time they gave you and they would still question why it took you that long. I would not advise any driver to apply at the Lithia Springs location. I did hear other drivers at the other locations talk about how much happier they were at their locations. They want you to work 50+ hours a week, but then pay you part time wages with no benefits. Do yourself a favor and apply at one of the other local Penske locations if you do choose to apply there.",Easy Job when left alone,Management
1069326458,Driver (Current Employee) –  , MI,Flat Rock,2018-04-16,3,Canada runs 24 hrs 7 day a week no down time,The communication  they have is their down fall they tell you one thing and do another. They dont tell you when there is changes .  I didn't work in a terminal   and got all my info emailed .they would never email changes they would wait to the last minute.  The have policy on cleaning trucks and something but  they dont in force it.,None,None
1069197382,Hilo driver (Former Employee) –  , MI,Chesterfield,2018-04-10,4,This company is not manage right,The upper management is really unprofessional and they do not know how to talk to people the hours and money was good I wouldn't mind Workin there if they we're to change management,NA,NA
1069073346,Driver (Current Employee) –  ,NA,WV,2018-04-04,1,Worst work enviroment ive seen,"Pros was pay and new equipment... the entire office has 0 trucking experience. Constant non appointments or forgot, forced dispatch. Write up for anything, now driver facing cameras...",Pay,Entire managment team
1068903507,Driver (Former Employee) –  , TX,Houston,2018-03-27,4,Nice place to work,Penske was a good company i enjoyed all of my coworkers the money was just not enough but i loved the job  it was very fast passed and cut throat but in a loving way,NA,NA
1068544267,Driver (Former Employee) –  , CT 06705,Waterbury,2018-03-11,3,fun atmosphere,"Great people to be around,some very good employees.Good teamwork ethics.Service Department personnel were excellent people,again great staff,should hope to be around such people again",NA,NA
1067677178,Driver (Former Employee) –  ,NA,Massachusetts,2018-02-01,1,Starve to death,How could you ever survive making less than 18 an hour... you need to make at least 26 and that still stinks...CDL A  is expensive to maintain not to mention all the clowns on the road today,Welfare,Food stamps
