Term,Manual,,Termine,,,,FiveFilters,,,
,D1,D2.count,D1,,D2,,D1,,D2,
,d1.count,d2.count,D1Rank,D1Score,D2Rank,D2Score,D1Occurrence,D1WordCount,D2Occurrence,D2WordCount
e-commerce,1,0,NA,NA,NA,NA,NA,NA,NA,NA
delivery schedules ,1,0,NA,NA,NA,NA,NA,NA,NA,NA
visibility ,2,0,NA,NA,NA,NA,NA,NA,NA,NA
supply chain,2,0,2,2,NA,NA,1,2,NA,NA
dynamic,4,0,NA,NA,NA,NA,NA,NA,NA,NA
technology-driven interactions ,1,0,NA,NA,NA,NA,NA,NA,NA,NA
shippers,5,2,NA,NA,NA,NA,5,1,2,1
carriers,5,2,NA,NA,NA,NA,2,1,1,1
brokers,4,1,NA,NA,NA,NA,4,1,1,1
contract ,10,0,NA,NA,NA,NA,NA,NA,NA,NA
changing ,2,0,NA,NA,NA,NA,NA,NA,NA,NA
technology,4,0,NA,NA,NA,NA,3,1,NA,NA
automating freight-matching,1,0,NA,NA,NA,NA,NA,NA,NA,NA
contract bidding process,1,0,10,1.584962,NA,NA,1,3,NA,NA
rfp,3,0,NA,NA,NA,NA,NA,NA,NA,NA
bid cycles ,1,0,NA,NA,NA,NA,NA,NA,NA,NA
seasonal  bids,0,0,NA,NA,NA,NA,NA,NA,NA,NA
spot vs. contract,2,0,NA,NA,NA,NA,NA,NA,NA,NA
uber freight ,2,0,NA,NA,NA,NA,NA,NA,NA,NA
pricing rates ,1,0,NA,NA,NA,NA,NA,NA,NA,NA
contract rates ,1,0,NA,NA,NA,NA,NA,NA,NA,NA
value of contracts,1,0,NA,NA,NA,NA,NA,NA,NA,NA
market,3,2,NA,NA,NA,NA,1,1,NA,NA
changing ,2,0,NA,NA,NA,NA,NA,NA,NA,NA
data,2,2,NA,NA,NA,NA,2,1,2,1
tension,2,0,NA,NA,NA,NA,1,1,NA,NA
locking in,1,0,NA,NA,NA,NA,NA,NA,NA,NA
experimentation,1,0,NA,NA,NA,NA,1,1,NA,NA
carrier selection,1,0,NA,NA,NA,NA,NA,NA,NA,NA
algorithms,1,0,NA,NA,NA,NA,1,1,NA,NA
downturn,0,1,NA,NA,NA,NA,NA,NA,1,1
forecasts,0,1,NA,NA,NA,NA,NA,NA,1,1
national transportation institute,0,1,NA,NA,6,1.584962,NA,NA,NA,NA
driver compensation,0,1,NA,NA,15,1,NA,NA,1,2
pay ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
decreased,0,1,NA,NA,NA,NA,NA,NA,NA,NA
signing bonuses ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
softens demands,0,1,NA,NA,NA,NA,NA,NA,NA,NA
volumes ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
increase,1,3,NA,NA,NA,NA,NA,NA,2,1
flatbed,0,4,NA,NA,NA,NA,NA,NA,1,1
signs of weakening,0,1,NA,NA,NA,NA,NA,NA,NA,NA
easing in manufacturing,0,1,NA,NA,NA,NA,NA,NA,NA,NA
expansion,0,1,NA,NA,NA,NA,NA,NA,1,1
retrenchment,0,1,NA,NA,NA,NA,NA,NA,1,1
spot market rates,0,1,NA,NA,NA,NA,NA,NA,1,3
pessimistic ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
construction ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
economic indicator,0,1,NA,NA,NA,NA,NA,NA,NA,NA
owner-operator ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
freight rates,0,1,NA,NA,NA,NA,NA,NA,1,2
miles ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
revenue,0,1,NA,NA,NA,NA,NA,NA,1,1
income,0,2,NA,NA,NA,NA,NA,NA,2,1
correction ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
cass ,0,3,NA,NA,NA,NA,NA,NA,NA,NA
recession ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
slowdown,0,1,NA,NA,NA,NA,NA,NA,1,1
stability ,0,1,NA,NA,NA,NA,NA,NA,NA,NA
economy,0,2,NA,NA,NA,NA,NA,NA,2,1
uber freight,NA,NA,1,3,NA,NA,NA,NA,NA,NA
digital freight-matching,NA,NA,2,2,NA,NA,NA,NA,NA,NA
robust carrier selection criterion,NA,NA,2,2,NA,NA,NA,NA,NA,NA
eka omni-tms cloud-based system,NA,NA,2,2,NA,NA,NA,NA,NA,NA
contract paradigm.,NA,NA,2,2,NA,NA,NA,NA,NA,NA
avery vise,NA,NA,2,2,NA,NA,NA,NA,NA,NA
annual bid award process,NA,NA,2,2,NA,NA,NA,NA,NA,NA
traditional contract bid process,NA,NA,2,2,NA,NA,NA,NA,NA,NA
dynamic price environment,NA,NA,10,1.584962,NA,NA,NA,NA,NA,NA
variable cost structure,NA,NA,10,1.584962,NA,NA,NA,NA,NA,NA
contract freight kind,NA,NA,10,1.584962,NA,NA,1,3,NA,NA
year-long bid cycle,NA,NA,10,1.584962,NA,NA,NA,NA,NA,NA
july cover story,NA,NA,10,1.584962,NA,NA,NA,NA,NA,NA
ftr kate kaufman,NA,NA,10,1.584962,NA,NA,NA,NA,NA,NA
stringent delivery schedule,NA,NA,10,1.584962,NA,NA,NA,NA,NA,NA
small carrier,NA,NA,18,1,NA,NA,NA,NA,NA,NA
ftr associate,NA,NA,18,1,NA,NA,NA,NA,NA,NA
continuous review,NA,NA,18,1,NA,NA,NA,NA,NA,NA
business tension,NA,NA,18,1,NA,NA,1,2,NA,NA
seasonal bid,NA,NA,18,1,NA,NA,NA,NA,NA,NA
back-end billing,NA,NA,18,1,NA,NA,NA,NA,NA,NA
claude pumilia,NA,NA,18,1,NA,NA,NA,NA,NA,NA
pricing rate,NA,NA,18,1,NA,NA,NA,NA,NA,NA
robert brothers,NA,NA,18,1,NA,NA,NA,NA,NA,NA
contract diminishes.,NA,NA,18,1,NA,NA,NA,NA,NA,NA
informed choice,NA,NA,18,1,NA,NA,NA,NA,NA,NA
contract rate,NA,NA,18,1,NA,NA,NA,NA,NA,NA
account op,NA,NA,18,1,NA,NA,NA,NA,NA,NA
trucking research,NA,NA,18,1,NA,NA,1,2,NA,NA
product development,NA,NA,18,1,NA,NA,1,2,NA,NA
eka solution,NA,NA,18,1,NA,NA,NA,NA,NA,NA
predictive rate,NA,NA,18,1,NA,NA,NA,NA,NA,NA
big part,NA,NA,18,1,NA,NA,NA,NA,NA,NA
business relationships.,NA,NA,18,1,NA,NA,NA,NA,NA,NA
technology-driven interaction,NA,NA,18,1,NA,NA,NA,NA,NA,NA
drawn-out rfp,NA,NA,18,1,NA,NA,NA,NA,NA,NA
hot trend,NA,NA,18,1,NA,NA,NA,NA,NA,NA
long-term contract,NA,NA,18,1,NA,NA,NA,NA,NA,NA
financial function,NA,NA,18,1,NA,NA,NA,NA,NA,NA
contract freight,NA,NA,18,1,NA,NA,1,2,NA,NA
mcleod software,NA,NA,18,1,NA,NA,NA,NA,NA,NA
historic rate,NA,NA,18,1,NA,NA,NA,NA,NA,NA
spot market,NA,NA,18,1,NA,NA,1,2,NA,NA
j.j singh,NA,NA,18,1,NA,NA,NA,NA,NA,NA
financial service provider atbs,NA,NA,NA,NA,1,2,NA,NA,NA,NA
brokerage tucker company worldwide,NA,NA,NA,NA,1,2,NA,NA,NA,NA
net income,NA,NA,NA,NA,1,2,NA,NA,NA,NA
cass freight shipments index,NA,NA,NA,NA,1,2,NA,NA,NA,NA
