"word","frequency"
"year",5
"don’t",4
"still",4
"trucking",4
"cass",3
"flatbed",3
"freight",3
"tucker",3
"bonuses",2
"business",2
"carriers",2
"consultant",2
"continues",2
"data",2
"demand",2
"economic",2
"economy",2
"first",2
"fortune",2
"ftr",2
"grow",2
"income",2
"increase",2
"long",2
"market",2
"national",2
"net",2
"next",2
"notes",2
"number",2
"quarter",2
"rates",2
"recession",2
"reported",2
"segment",2
"shippers",2
"strong",2
"take",2
"talk",2
"think",2
"though",2
"time",2
"–",2
"’re",2
"acceleration",1
"according",1
"activity",1
"ago",1
"ahead",1
"already",1
"also",1
"among",1
"association",1
"atbs",1
"authority",1
"average",1
"bad",1
"balanced",1
"based",1
"beginning",1
"best",1
"bottom",1
"broker",1
"brokerage",1
"brokers",1
"build",1
"came",1
"cents",1
"ceo",1
"check",1
"companies",1
"company",1
"compensation",1
"complete",1
"conclusion",1
"construction",1
"contraction",1
"cooled",1
"correction",1
"cpm",1
"days",1
"declines",1
"decreased",1
"dedicated",1
"deemed",1
"direct",1
"discerning",1
"dollars",1
"downturn",1
"driver",1
"drivers",1
"dropping",1
"dry",1
"due",1
"early",1
"easing",1
"economics’",1
"enough",1
"enter",1
"escrow",1
"even",1
"ever",1
"example",1
"expansion",1
"fairly",1
"fever",1
"fill",1
"financial",1
"flatbedders",1
"forecasters",1
"forecasts",1
"going",1
"good",1
"googletagcmdpushfunction",1
"googletagdisplayxmobile",1
"gradually",1
"hand",1
"hard",1
"harm",1
"heated",1
"high",1
"hold",1
"however",1
"inauguration",1
"increases",1
"independent",1
"index",1
"indicating",1
"indicator",1
"industrial",1
"information",1
"institute",1
"jeff",1
"june",1
"just",1
"key",1
"large",1
"leased",1
"least",1
"line",1
"looming",1
"magazine",1
"major",1
"majority",1
"manufacturing",1
"may",1
"merely",1
"mile",1
"miles",1
"monitors",1
"month",1
"moves",1
"necessary",1
"negative",1
"new",1
"news",1
"offering",1
"often",1
"ominous",1
"one",1
"operating",1
"operator",1
"opportunities",1
"opposed",1
"owneroperator",1
"owneroperators",1
"particularly",1
"partly",1
"pause",1
"pay",1
"per",1
"pessimistic",1
"pitch",1
"plus",1
"possible",1
"prep",1
"presidential",1
"professional",1
"projected",1
"pronounced",1
"provider",1
"push",1
"recent",1
"recently",1
"relationships",1
"remain",1
"remains",1
"report",1
"reports",1
"rest",1
"retrenchment",1
"reveals",1
"revenue",1
"risks",1
"room",1
"rose",1
"said",1
"savings",1
"saw",1
"says",1
"seats",1
"secured",1
"seen",1
"services",1
"shipments",1
"shipping",1
"showing",1
"signing",1
"signs",1
"sixth",1
"slip",1
"slow",1
"slowdown",1
"softening",1
"softens",1
"somehow",1
"something",1
"spot",1
"stability",1
"start",1
"stats",1
"steady",1
"step",1
"straight",1
"subsided",1
"substantial",1
"survey",1
"suspects",1
"systems",1
"terms",1
"thinking",1
"thousands",1
"tie",1
"tracks",1
"transportation",1
"trends",1
"trust",1
"trying",1
"undetermined",1
"using",1
"usual",1
"volumes",1
"wait",1
"war",1
"weakening",1
"worldwide",1
"worse",1
"worst",1
"years",1
"yearyear",1
"yet",1
