ID,Position,State,City,Date,Rating,Title,Review,Pros,Cons
1076149538,Driver (Former Employee) –  , OH,Dayton,2019-04-09,3,Flatbed truck driving jobs days...typical job,"Worked driving flatbed...job was ok, hard work up and down off trailer securing load tarping and retarping load for multiple stop customers. Weather is a big effector of this job.",NA,NA
1076126042,Driver (Former Employee) –  , NC,Charlotte,2019-04-08,5,they were   good to me*,Had to drive truck up to North Carolina from Savannah to pick up auto parts and drive load backm to  S  avannaho and wait as needed    A lso had to help unload.,good jins,none
1075994067,Driver (Current Employee) –  , IL,Belvidere,2019-04-01,4,It’s a job,I’m sure it would be better if you weren’t dealing with the lack of consistency of Chrysler. Overall I like my position here the work is easy but  the rapid decline in hours recently is unacceptable.,NA,NA
1075817237,Driver (Former Employee) –  , SC,Columbia,2019-03-22,3,bad upper level management.,New safety procedures and equipment caused  my termination. It was bad decision by upper management to allow new equipment to make my job impossible to perform under a new excessive safety policy.,NA,low hourly pay
1075694896,Driver/SCDT (Former Employee) –  , TX,San Antonio,2019-03-15,4,i would go back in a heart beat,"as a team driver i had a lot of fun.  when i was a solo driver it was the same old same old every day,,.. i would go back in a heart beat. as a team driver. only in S.A. the office people are fun. and make it fun when you go in there. but how ever they do need to work on knowing what to say to the drivers when they call in. and not say just what ever comes to mind.. drivers are away from home and some times just need to be reasured all good and things didnt change..","new trucks, good pay",office folk don't always tell drivers the truth
1075659152,Driver (Current Employee) –  , NY,Rochester,2019-03-13,1,Terrible. Stay away.,Worst place ever. Management is less than useless. They nag micromanage accuse and treat the employees like children at best. Most of the time they treat the employees like criminals. Don’t waste your time here.,None,Everything
1075630053,Driver (Current Employee) –  , TX,El Paso,2019-03-12,4,na,"I would go in get my load , call my person of contact to see were where we going to meet and drive to change trailer .my whole day was any were from 9 to 14 hours depending on weather and driving conditions.",NA,NA
1075581875,Shunt Driver (Former Employee) –  , ON,Cambridge,2019-03-09,5,Day and Night shifts with great empolyees,safety is number one with this organizationawesome benefits  and pension planslots of room for advancement with opportunity to relocatenew equipment,NA,NA
1075512843,Driver (Former Employee) –  , NY,Niagara Falls,2019-03-05,2,Has potential but poor management,"There is a culture at Ryder that makes sure slow and dangerous drivers receive the same pay as the efficient and safe drivers. People that ride the clock and steal hours are not punished, but rather rewarded by getting big paychecks. I ignored all the favoritism and kept minding my own business. I was able to clear mid 60's and be home every night. That being said I worked 70 hour weeks for 2 years straight. This is important to know also....If you get hurt on the job they are self insured work comp. This is not a benefit to the injured party.The potential for this to be a great place to work is there. No seniority at my location code made tensions between drivers when it came to playing favorites for the easy jobs when they came up. Great pay and very bad benefits, United Healthcare with huge deductibles. Really good 401K 4 percent match. My location code had drivers drive and that's it, no touch freight, mostly preloaded trailers and live unloads and some drop and hooks. Electronic logs and in two direction dash cams. You are always being watched so no smoking and no cell phone use.",Good pay and 401K home every night,"Poor healthcare provider, no seniority, favoratism"
1074689545,Driver (Former Employee) –  , TN,Nashville,2019-01-16,2,Don't work on extra board as a driver constantly different days and hours.,Extra board Driver's will be used and abused will be on different shifts and most will be night or early morning shifts Was told Imay have to go to Clarksville or Bowling green in my personal vehicle to cover drivers who will be off or no shows dispatch is a joke but money waa ok.,NA,NA
1074073101,Driver (Current Employee) –  , AB,Edmonton,2018-12-06,1,Driver at Ryder,"My day starts at 6:30 in the morning at which point i must check my load on the truck, check which stops i have for the day and plan my route to ensure i get my stops done in the most efficient way possible. Depending on the number of stops I usually come back, get unloaded and then load up any returns that need to be delivered. My day usually ends between 5 and 5:30",NA,NA
1074007271,Driver (Former Employee) –  , CA,Sacramento,2018-12-03,3,Productive fast paced,Was a good place to work for as I worked for them for 11-12 years. Pay was competitive with good benefits. I liked working 4 10’s. But when Ryder lost account I think Ryder could of tried harder to take care of us employees,Pay hours,Just being let go when they could of placed us somewhere else
1073287770,Driver (Former Employee) –  , IN,South Bend,2018-11-04,5,relaxed but straining,The job is nothing but drop and hook but will have some live unload and loading. You're back home daily but will travel within three states. It can get exhausting at times but is a great job and pays well.,NA,NA
1072822677,Driver (Current Employee) –  , GA,Atlanta,2018-10-09,4,Ryder is a descent company to work for,Ryder is a good company to work at good pay if you willing to work do your job be on time have good relations with customer vacation time off on holiday,NA,Some mangers at sometime want you to over and beyond you’re duty
